cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
17,2483.011635865845,,,1995,6.846524500507211,14909,Eunomia
9,2474.573579739904,,,1996,3.6369902571035966,14909,Eunomia
11,2451.9479808350443,,,1997,4.48622894367188,14909,Eunomia
11,2435.8275154004104,,,1998,4.515919099547482,14909,Eunomia
13,2418.877481177276,,,1999,5.374393743031935,14909,Eunomia
15,2409.793292265572,,,2000,6.224600279262011,14909,Eunomia
17,2380.9500342231345,,,2001,7.1400070373786,14909,Eunomia
13,2354.190280629706,,,2002,5.522068503537751,14909,Eunomia
12,2336.6762491444215,,,2003,5.135499624474646,14909,Eunomia
9,2329.990417522245,,,2004,3.8626768300492698,14909,Eunomia
13,2307.4140999315537,,,2005,5.634012551273578,14909,Eunomia
11,2287.583846680356,,,2006,4.8085669148095835,14909,Eunomia
14,2261.949349760438,,,2007,6.18935167645674,14909,Eunomia
13,2253.2648870636554,,,2008,5.769406018189439,14909,Eunomia
13,2231.1540041067765,,,2009,5.826581211369334,14909,Eunomia
21,2208.9993155373036,,,2010,9.506567001761196,14909,Eunomia
8,2185.2238193018484,,,2011,3.66095222344588,14909,Eunomia
14,2176.577686516085,,,2012,6.432115925257391,14909,Eunomia
13,2147.5783709787815,,,2013,6.0533297297435125,14909,Eunomia
9,2129.6536618754276,,,2014,4.226039266908014,14909,Eunomia
12,2113.0102669404514,,,2015,5.679101605774726,14909,Eunomia
9,2096.9007529089663,,,2016,4.292048628202634,14909,Eunomia
17,2023.422313483915,,,2017,8.401607458172936,14909,Eunomia
10,1637.0376454483235,,,2018,6.108595014784387,14909,Eunomia
5,265.8425735797399,,,2019,18.808123667596988,14909,Eunomia
0,-5,,0-9,1908,0,14909,Eunomia
0,11.832991101984941,,0-9,1909,0,14909,Eunomia
0,26.23134839151266,,0-9,1910,0,14909,Eunomia
0,34.677618069815196,,0-9,1911,0,14909,Eunomia
0,45.50308008213552,,0-9,1912,0,14909,Eunomia
0,54.43668720054757,,0-9,1913,0,14909,Eunomia
0,62.143737166324435,,0-9,1914,0,14909,Eunomia
0,68.95277207392198,,0-9,1915,0,14909,Eunomia
0,74.17932922655716,,0-9,1916,0,14909,Eunomia
0,80.32306639288159,,0-9,1917,0,14909,Eunomia
0,83.40314852840521,,0-9,1918,0,14909,Eunomia
0,69.15811088295689,,0-9,1919,0,14909,Eunomia
0,80.76659822039699,,0-9,1920,0,14909,Eunomia
0,75.0280629705681,,0-9,1921,0,14909,Eunomia
0,79.63860369609856,,0-9,1922,0,14909,Eunomia
0,81.86173853524983,,0-9,1923,0,14909,Eunomia
0,78.84462696783027,,0-9,1924,0,14909,Eunomia
0,86.3956194387406,,0-9,1925,0,14909,Eunomia
0,80.08213552361397,,0-9,1926,0,14909,Eunomia
0,86.78439425051334,,0-9,1927,0,14909,Eunomia
0,83.96988364134154,,0-9,1928,0,14909,Eunomia
0,76.93634496919918,,0-9,1929,0,14909,Eunomia
0,68.12046543463381,,0-9,1930,0,14909,Eunomia
0,74.3025325119781,,0-9,1931,0,14909,Eunomia
0,58.46406570841889,,0-9,1932,0,14909,Eunomia
0,58.09445585215606,,0-9,1933,0,14909,Eunomia
0,53.90554414784394,,0-9,1934,0,14909,Eunomia
0,70.14647501711157,,0-9,1935,0,14909,Eunomia
0,88.24366872005476,,0-9,1936,0,14909,Eunomia
0,105.26762491444217,,0-9,1937,0,14909,Eunomia
0,123.27173169062286,,0-9,1938,0,14909,Eunomia
0,147.27994524298424,,0-9,1939,0,14909,Eunomia
0,161.78781656399727,,0-9,1940,0,14909,Eunomia
0,179.51540041067761,,0-9,1941,0,14909,Eunomia
0,196.67351129363448,,0-9,1942,0,14909,Eunomia
0,215.34839151266254,,0-9,1943,0,14909,Eunomia
0,238.7789185489391,,0-9,1944,0,14909,Eunomia
0,244.46543463381244,,0-9,1945,0,14909,Eunomia
0,263.5756331279945,,0-9,1946,0,14909,Eunomia
0,283.460643394935,,0-9,1947,0,14909,Eunomia
0,286.6201232032854,,0-9,1948,0,14909,Eunomia
0,295.6577686516085,,0-9,1949,0,14909,Eunomia
0,312.05749486652974,,0-9,1950,0,14909,Eunomia
0,360.4161533196441,,0-9,1951,0,14909,Eunomia
0,395.1731690622861,,0-9,1952,0,14909,Eunomia
0,411.41683778234085,,0-9,1953,0,14909,Eunomia
0,431.3593429158111,,0-9,1954,0,14909,Eunomia
0,456.87611225188226,,0-9,1955,0,14909,Eunomia
0,488.92265571526355,,0-9,1956,0,14909,Eunomia
0,504.69541409993155,,0-9,1957,0,14909,Eunomia
0,526.0369609856264,,0-9,1958,0,14909,Eunomia
0,558.7241615331964,,0-9,1959,0,14909,Eunomia
0,586.3956194387406,,0-9,1960,0,14909,Eunomia
0,599.9753593429158,,0-9,1961,0,14909,Eunomia
0,611.791923340178,,0-9,1962,0,14909,Eunomia
0,636.517453798768,,0-9,1963,0,14909,Eunomia
0,656.0985626283368,,0-9,1964,0,14909,Eunomia
0,659.895961670089,,0-9,1965,0,14909,Eunomia
0,662.6803559206023,,0-9,1966,0,14909,Eunomia
0,684.4052019164956,,0-9,1967,0,14909,Eunomia
0,684.7885010266941,,0-9,1968,0,14909,Eunomia
0,687.6769336071184,,0-9,1969,0,14909,Eunomia
0,676.971937029432,,0-9,1970,0,14909,Eunomia
0,669.6947296372348,,0-9,1971,0,14909,Eunomia
0,696.7693360711842,,0-9,1972,0,14909,Eunomia
0,688.6735112936345,,0-9,1973,0,14909,Eunomia
0,678.4065708418891,,0-9,1974,0,14909,Eunomia
0,667.9972621492129,,0-9,1975,0,14909,Eunomia
0,651.0718685831623,,0-9,1976,0,14909,Eunomia
0,626.570841889117,,0-9,1977,0,14909,Eunomia
0,613.6262833675564,,0-9,1978,0,14909,Eunomia
0,577.9630390143736,,0-9,1979,0,14909,Eunomia
0,546.2669404517453,,0-9,1980,0,14909,Eunomia
0,499.7070499657769,,0-9,1981,0,14909,Eunomia
0,439.0444900752909,,0-9,1982,0,14909,Eunomia
0,396.29295003422317,,0-9,1983,0,14909,Eunomia
0,348.13141683778235,,0-9,1984,0,14909,Eunomia
0,308.25188227241614,,0-9,1985,0,14909,Eunomia
0,262.69130732375083,,0-9,1986,0,14909,Eunomia
0,205.8590006844627,,0-9,1987,0,14909,Eunomia
0,160.32854209445586,,0-9,1988,0,14909,Eunomia
0,124.91444216290213,,0-9,1989,0,14909,Eunomia
0,85.94113620807666,,0-9,1990,0,14909,Eunomia
0,51.964407939767284,,0-9,1991,0,14909,Eunomia
0,33.06776180698152,,0-9,1992,0,14909,Eunomia
0,16.98836413415469,,0-9,1993,0,14909,Eunomia
0,5.9958932238193015,,0-9,1994,0,14909,Eunomia
0,-5,,0-9,1995,0,14909,Eunomia
0,-5,,10-19,1918,0,14909,Eunomia
0,20.985626283367555,,10-19,1919,0,14909,Eunomia
0,27.055441478439427,,10-19,1920,0,14909,Eunomia
0,40.9719370294319,,10-19,1921,0,14909,Eunomia
0,51.964407939767284,,10-19,1922,0,14909,Eunomia
0,58.959616700889804,,10-19,1923,0,14909,Eunomia
0,69.14168377823408,,10-19,1924,0,14909,Eunomia
0,68.95277207392198,,10-19,1925,0,14909,Eunomia
0,78.94592744695414,,10-19,1926,0,14909,Eunomia
0,80.94455852156058,,10-19,1927,0,14909,Eunomia
0,86.17659137577002,,10-19,1928,0,14909,Eunomia
0,76.94729637234771,,10-19,1929,0,14909,Eunomia
0,87.93976728268309,,10-19,1930,0,14909,Eunomia
0,76.94729637234771,,10-19,1931,0,14909,Eunomia
0,84.17248459958932,,10-19,1932,0,14909,Eunomia
0,84.94182067077344,,10-19,1933,0,14909,Eunomia
0,83.94250513347023,,10-19,1934,0,14909,Eunomia
0,87.93976728268309,,10-19,1935,0,14909,Eunomia
0,86.17659137577002,,10-19,1936,0,14909,Eunomia
0,89.93839835728953,,10-19,1937,0,14909,Eunomia
0,84.94182067077344,,10-19,1938,0,14909,Eunomia
0,77.94661190965093,,10-19,1939,0,14909,Eunomia
0,75.15400410677617,,10-19,1940,0,14909,Eunomia
0,75.94798083504449,,10-19,1941,0,14909,Eunomia
0,61.95756331279945,,10-19,1942,0,14909,Eunomia
0,59.958932238193015,,10-19,1943,0,14909,Eunomia
0,62.12731006160165,,10-19,1944,0,14909,Eunomia
0,86.94045174537987,,10-19,1945,0,14909,Eunomia
0,100.93086926762491,,10-19,1946,0,14909,Eunomia
0,111.92334017796031,,10-19,1947,0,14909,Eunomia
0,140.28747433264886,,10-19,1948,0,14909,Eunomia
0,162.88843258042436,,10-19,1949,0,14909,Eunomia
0,174.88021902806298,,10-19,1950,0,14909,Eunomia
0,188.870636550308,,10-19,1951,0,14909,Eunomia
0,211.43326488706367,,10-19,1952,0,14909,Eunomia
0,234.83915126625598,,10-19,1953,0,14909,Eunomia
0,255.82477754962355,,10-19,1954,0,14909,Eunomia
0,263.81930184804924,,10-19,1955,0,14909,Eunomia
0,278.57084188911705,,10-19,1956,0,14909,Eunomia
0,299.7946611909651,,10-19,1957,0,14909,Eunomia
0,302.7926078028747,,10-19,1958,0,14909,Eunomia
0,316.78302532511975,,10-19,1959,0,14909,Eunomia
0,346.7104722792608,,10-19,1960,0,14909,Eunomia
0,389.73305954825463,,10-19,1961,0,14909,Eunomia
0,418.7132101300479,,10-19,1962,0,14909,Eunomia
0,434.70225872689934,,10-19,1963,0,14909,Eunomia
0,464.952772073922,,10-19,1964,0,14909,Eunomia
0,487.66598220396986,,10-19,1965,0,14909,Eunomia
0,520.6433949349761,,10-19,1966,0,14909,Eunomia
0,529.6372347707049,,10-19,1967,0,14909,Eunomia
0,566.1601642710473,,10-19,1968,0,14909,Eunomia
0,594.5927446954141,,10-19,1969,0,14909,Eunomia
0,618.5763175906914,,10-19,1970,0,14909,Eunomia
0,638.5626283367557,,10-19,1971,0,14909,Eunomia
0,646.3244353182752,,10-19,1972,0,14909,Eunomia
0,682.5325119780971,,10-19,1973,0,14909,Eunomia
0,689.5277207392197,,10-19,1974,0,14909,Eunomia
0,695.523613963039,,10-19,1975,0,14909,Eunomia
0,696.4271047227926,,10-19,1976,0,14909,Eunomia
0,716.5092402464065,,10-19,1977,0,14909,Eunomia
0,717.5085557837099,,10-19,1978,0,14909,Eunomia
0,719.5071868583162,,10-19,1979,0,14909,Eunomia
0,716.4681724845996,,10-19,1980,0,14909,Eunomia
0,711.5126625598905,,10-19,1981,0,14909,Eunomia
0,738.4941820670774,,10-19,1982,0,14909,Eunomia
0,717.5085557837098,,10-19,1983,0,14909,Eunomia
0,712.4599589322381,,10-19,1984,0,14909,Eunomia
0,689.5277207392197,,10-19,1985,0,14909,Eunomia
0,669.5414099931554,,10-19,1986,0,14909,Eunomia
0,657.5496235455169,,10-19,1987,0,14909,Eunomia
0,636.3039014373717,,10-19,1988,0,14909,Eunomia
0,597.5906913073238,,10-19,1989,0,14909,Eunomia
0,562.6146475017111,,10-19,1990,0,14909,Eunomia
0,517.6454483230664,,10-19,1991,0,14909,Eunomia
0,449.9219712525667,,10-19,1992,0,14909,Eunomia
0,401.72484599589325,,10-19,1993,0,14909,Eunomia
0,351.7590691307324,,10-19,1994,0,14909,Eunomia
0,309.78781656399724,,10-19,1995,0,14909,Eunomia
0,264.5420944558522,,10-19,1996,0,14909,Eunomia
0,205.8590006844627,,10-19,1997,0,14909,Eunomia
0,159.89048596851472,,10-19,1998,0,14909,Eunomia
0,124.91444216290213,,10-19,1999,0,14909,Eunomia
0,86.17659137577002,,10-19,2000,0,14909,Eunomia
0,51.964407939767284,,10-19,2001,0,14909,Eunomia
0,32.97741273100616,,10-19,2002,0,14909,Eunomia
0,16.98836413415469,,10-19,2003,0,14909,Eunomia
0,6.012320328542095,,10-19,2004,0,14909,Eunomia
0,-5,,10-19,2005,0,14909,Eunomia
0,-5,,100-109,2008,0,14909,Eunomia
0,8.993839835728952,,100-109,2009,0,14909,Eunomia
0,11.991786447638603,,100-109,2010,0,14909,Eunomia
0,14.989733059548254,,100-109,2011,0,14909,Eunomia
0,21.04312114989733,,100-109,2012,0,14909,Eunomia
0,25.982203969883642,,100-109,2013,0,14909,Eunomia
0,30.978781656399725,,100-109,2014,0,14909,Eunomia
0,30.978781656399725,,100-109,2015,0,14909,Eunomia
0,35.47707049965777,,100-109,2016,0,14909,Eunomia
0,35.318275154004105,,100-109,2017,0,14909,Eunomia
0,32.016427104722794,,100-109,2018,0,14909,Eunomia
0,-5,,100-109,2019,0,14909,Eunomia
0,-5,,110-119,2018,0,14909,Eunomia
0,-5,,110-119,2019,0,14909,Eunomia
0,-5,,20-29,1928,0,14909,Eunomia
0,20.985626283367555,,20-29,1929,0,14909,Eunomia
0,26.98151950718686,,20-29,1930,0,14909,Eunomia
0,40.9719370294319,,20-29,1931,0,14909,Eunomia
0,52.10677618069815,,20-29,1932,0,14909,Eunomia
0,58.959616700889804,,20-29,1933,0,14909,Eunomia
0,68.95277207392198,,20-29,1934,0,14909,Eunomia
0,68.95277207392198,,20-29,1935,0,14909,Eunomia
0,79.16221765913758,,20-29,1936,0,14909,Eunomia
0,80.94455852156058,,20-29,1937,0,14909,Eunomia
0,85.94113620807666,,20-29,1938,0,14909,Eunomia
0,76.94729637234771,,20-29,1939,0,14909,Eunomia
0,88.18069815195072,,20-29,1940,0,14909,Eunomia
0,76.94729637234771,,20-29,1941,0,14909,Eunomia
0,83.94250513347023,,20-29,1942,0,14909,Eunomia
0,84.94182067077344,,20-29,1943,0,14909,Eunomia
0,84.17248459958932,,20-29,1944,0,14909,Eunomia
0,87.93976728268309,,20-29,1945,0,14909,Eunomia
0,85.94113620807666,,20-29,1946,0,14909,Eunomia
0,89.93839835728953,,20-29,1947,0,14909,Eunomia
0,85.17453798767967,,20-29,1948,0,14909,Eunomia
0,77.94661190965093,,20-29,1949,0,14909,Eunomia
0,74.94866529774127,,20-29,1950,0,14909,Eunomia
0,75.94798083504449,,20-29,1951,0,14909,Eunomia
0,62.12731006160164,,20-29,1952,0,14909,Eunomia
0,59.958932238193015,,20-29,1953,0,14909,Eunomia
0,61.95756331279945,,20-29,1954,0,14909,Eunomia
0,86.94045174537987,,20-29,1955,0,14909,Eunomia
0,101.20739219712524,,20-29,1956,0,14909,Eunomia
0,111.92334017796031,,20-29,1957,0,14909,Eunomia
0,139.90417522245036,,20-29,1958,0,14909,Eunomia
0,162.88843258042436,,20-29,1959,0,14909,Eunomia
0,175.35934291581108,,20-29,1960,0,14909,Eunomia
0,188.870636550308,,20-29,1961,0,14909,Eunomia
0,210.85557837097878,,20-29,1962,0,14909,Eunomia
0,234.83915126625598,,20-29,1963,0,14909,Eunomia
0,256.52566735112936,,20-29,1964,0,14909,Eunomia
0,263.81930184804924,,20-29,1965,0,14909,Eunomia
0,277.8097193702943,,20-29,1966,0,14909,Eunomia
0,299.7946611909651,,20-29,1967,0,14909,Eunomia
0,303.62217659137576,,20-29,1968,0,14909,Eunomia
0,316.78302532511975,,20-29,1969,0,14909,Eunomia
0,345.76317590691303,,20-29,1970,0,14909,Eunomia
0,389.73305954825463,,20-29,1971,0,14909,Eunomia
0,419.86036960985626,,20-29,1972,0,14909,Eunomia
0,434.70225872689934,,20-29,1973,0,14909,Eunomia
0,463.6824093086927,,20-29,1974,0,14909,Eunomia
0,487.66598220396986,,20-29,1975,0,14909,Eunomia
0,522.0698151950719,,20-29,1976,0,14909,Eunomia
0,529.6372347707049,,20-29,1977,0,14909,Eunomia
0,564.6132785763176,,20-29,1978,0,14909,Eunomia
0,594.5927446954141,,20-29,1979,0,14909,Eunomia
0,620.271047227926,,20-29,1980,0,14909,Eunomia
0,638.5626283367557,,20-29,1981,0,14909,Eunomia
0,644.558521560575,,20-29,1982,0,14909,Eunomia
0,682.5325119780971,,20-29,1983,0,14909,Eunomia
0,691.4168377823408,,20-29,1984,0,14909,Eunomia
0,695.523613963039,,20-29,1985,0,14909,Eunomia
0,694.5242984257359,,20-29,1986,0,14909,Eunomia
0,716.5092402464065,,20-29,1987,0,14909,Eunomia
0,719.4743326488706,,20-29,1988,0,14909,Eunomia
0,719.5071868583162,,20-29,1989,0,14909,Eunomia
0,714.5106091718001,,20-29,1990,0,14909,Eunomia
0,711.5126625598905,,20-29,1991,0,14909,Eunomia
0,740.517453798768,,20-29,1992,0,14909,Eunomia
0,717.5085557837098,,20-29,1993,0,14909,Eunomia
0,710.5133470225873,,20-29,1994,0,14909,Eunomia
0,689.5277207392197,,20-29,1995,0,14909,Eunomia
0,671.3757700205339,,20-29,1996,0,14909,Eunomia
0,657.5496235455169,,20-29,1997,0,14909,Eunomia
0,634.5653661875428,,20-29,1998,0,14909,Eunomia
0,597.5906913073238,,20-29,1999,0,14909,Eunomia
0,564.1560574948666,,20-29,2000,0,14909,Eunomia
0,517.6454483230664,,20-29,2001,0,14909,Eunomia
0,448.6926762491444,,20-29,2002,0,14909,Eunomia
0,401.72484599589325,,20-29,2003,0,14909,Eunomia
0,352.72279260780283,,20-29,2004,0,14909,Eunomia
0,309.78781656399724,,20-29,2005,0,14909,Eunomia
0,263.8193018480493,,20-29,2006,0,14909,Eunomia
0,205.8590006844627,,20-29,2007,0,14909,Eunomia
0,160.32854209445586,,20-29,2008,0,14909,Eunomia
0,124.91444216290213,,20-29,2009,0,14909,Eunomia
0,85.94113620807666,,20-29,2010,0,14909,Eunomia
0,51.964407939767284,,20-29,2011,0,14909,Eunomia
0,33.06776180698152,,20-29,2012,0,14909,Eunomia
0,16.98836413415469,,20-29,2013,0,14909,Eunomia
0,5.9958932238193015,,20-29,2014,0,14909,Eunomia
0,-5,,20-29,2015,0,14909,Eunomia
0,-5,,30-39,1938,0,14909,Eunomia
0,20.985626283367555,,30-39,1939,0,14909,Eunomia
0,27.055441478439427,,30-39,1940,0,14909,Eunomia
0,40.9719370294319,,30-39,1941,0,14909,Eunomia
0,51.964407939767284,,30-39,1942,0,14909,Eunomia
0,58.959616700889804,,30-39,1943,0,14909,Eunomia
-5,68.32580424366873,,30-39,1944,-73.17879467863439,14909,Eunomia
-5,66.19028062970568,,30-39,1945,-75.53979152878888,14909,Eunomia
0,74.94866529774127,,30-39,1946,0,14909,Eunomia
-5,75.78918548939083,,30-39,1947,-65.97247308720468,14909,Eunomia
-5,81.08966461327859,,30-39,1948,-61.66013910459855,14909,Eunomia
-5,72.93086926762491,,30-39,1949,-68.55807493055035,14909,Eunomia
-5,82.66666666666667,,30-39,1950,-60.48387096774193,14909,Eunomia
0,72.95003422313485,,30-39,1951,0,14909,Eunomia
0,81.16632443531827,,30-39,1952,0,14909,Eunomia
-5,81.782340862423,,30-39,1953,-61.13789293964045,14909,Eunomia
0,81.9438740588638,,30-39,1954,0,14909,Eunomia
-5,85.05954825462013,,30-39,1955,-58.7823483970645,14909,Eunomia
-5,83.79192334017796,,30-39,1956,-59.671622283940536,14909,Eunomia
-5,86.13826146475017,,30-39,1957,-58.04621448096116,14909,Eunomia
-5,80.26009582477755,,30-39,1958,-62.29745863892205,14909,Eunomia
-5,71.96440793976728,,30-39,1959,-69.47879018451589,14909,Eunomia
0,70.14373716632443,,30-39,1960,0,14909,Eunomia
0,70.9514031485284,,30-39,1961,0,14909,Eunomia
0,60.95824777549623,,30-39,1962,0,14909,Eunomia
-5,58.93497604380562,,30-39,1963,-84.83926414568428,14909,Eunomia
0,61.1252566735113,,30-39,1964,0,14909,Eunomia
-5,86.84188911704311,,30-39,1965,-57.57590087959898,14909,Eunomia
-5,99.08008213552361,,30-39,1966,-50.464229461991216,14909,Eunomia
0,110.92402464065708,,30-39,1967,0,14909,Eunomia
-5,139.0444900752909,,30-39,1968,-35.95971330681684,14909,Eunomia
-5,160.2217659137577,,30-39,1969,-31.206746296201363,14909,Eunomia
-5,171.86858316221765,,30-39,1970,-29.09199522102748,14909,Eunomia
-5,184.145106091718,,30-39,1971,-27.152500037169748,14909,Eunomia
-5,206.79260780287476,,30-39,1972,-24.178813996901933,14909,Eunomia
0,230.84188911704314,,30-39,1973,0,14909,Eunomia
-5,250.40109514031485,,30-39,1974,-19.96796378705212,14909,Eunomia
-5,258.89664613278575,,30-39,1975,-19.31272604217339,14909,Eunomia
-5,273.44832306639285,,30-39,1976,-18.284990538362187,14909,Eunomia
-5,294.8062970568104,,30-39,1977,-16.96028900982559,14909,Eunomia
