cohort_id,time_id,covariate_id,sum_value,mean,sd,database_id
14909,2,260139202,15,0.031,0.1742,Eunomia
17493,1,4266809202,139,0.29,0.4538,Eunomia
14909,10,4109685202,66,0.138,0.3447,Eunomia
17493,1,4113008202,50,0.104,0.3058,Eunomia
14909,10,317576202,28,0.058,0.2346,Eunomia
17493,10,4059173202,36,0.075,0.2636,Eunomia
14909,1,261325202,10,0.021,0.143,Eunomia
17492,10,4035415202,10,0.021,0.143,Eunomia
17493,10,4285898202,113,0.236,0.4246,Eunomia
14909,1,381316202,9,0.019,0.1358,Eunomia
17492,10,40479768202,6,0.013,0.1112,Eunomia
17493,10,78272202,87,0.182,0.3855,Eunomia
14909,5,40481087202,50,0.104,0.3058,Eunomia
17492,1,321042202,10,0.021,0.143,Eunomia
17493,1,261325202,10,0.021,0.143,Eunomia
14909,3,4112343202,16,0.033,0.1797,Eunomia
17492,1,317576202,9,0.019,0.1358,Eunomia
14909,1,40479422202,8,0.017,0.1282,Eunomia
17492,9,260139202,19,0.04,0.1952,Eunomia
14909,10,375671202,37,0.077,0.267,Eunomia
14909,1,4278672202,33,0.069,0.2533,Eunomia
17492,5,40481087202,50,0.104,0.3058,Eunomia
14909,10,4056621202,8,0.017,0.1282,Eunomia
14909,2,4285898202,110,0.23,0.4206,Eunomia
17492,2,30753202,45,0.094,0.2918,Eunomia
14909,2,81151202,6,0.013,0.1112,Eunomia
17492,1,4113008202,50,0.104,0.3058,Eunomia
14909,1,440086202,40,0.084,0.2766,Eunomia
17492,1,261325202,10,0.021,0.143,Eunomia
14909,1,4113008202,50,0.104,0.3058,Eunomia
14909,1,4294548202,63,0.132,0.338,Eunomia
17492,5,4285898202,110,0.23,0.4206,Eunomia
14909,1,81893202,130,0.271,0.4447,Eunomia
17492,3,4266809202,139,0.29,0.4538,Eunomia
17492,2,80180202,479,1,0,Eunomia
17492,2,192671202,479,1,0,Eunomia
17492,10,81893202,130,0.271,0.4447,Eunomia
17492,10,4296205202,28,0.058,0.2346,Eunomia
17492,10,4146173202,33,0.069,0.2533,Eunomia
17492,10,378001202,102,0.213,0.4094,Eunomia
17492,10,4294548202,102,0.213,0.4094,Eunomia
17492,1,4156265202,31,0.065,0.246,Eunomia
17492,1,4218389202,68,0.142,0.349,Eunomia
17492,1,28060202,157,0.328,0.4694,Eunomia
17493,1,381316202,9,0.019,0.1358,Eunomia
17493,9,260139202,19,0.04,0.1952,Eunomia
17493,10,313217202,11,0.023,0.1498,Eunomia
17492,10,313217202,11,0.023,0.1498,Eunomia
17493,1,440448202,13,0.027,0.1625,Eunomia
14909,8,40481087202,6,0.013,0.1112,Eunomia
17493,1,375671202,25,0.052,0.2224,Eunomia
14909,10,4142905202,27,0.056,0.2306,Eunomia
17492,8,40481087202,6,0.013,0.1112,Eunomia
14909,1,4146173202,19,0.04,0.1952,Eunomia
17492,10,4029498202,6,0.013,0.1112,Eunomia
17493,2,30753202,45,0.094,0.2918,Eunomia
17492,1,4155034202,36,0.075,0.2636,Eunomia
17493,10,4146173202,33,0.069,0.2533,Eunomia
17493,1,440086202,40,0.084,0.2766,Eunomia
14909,9,40481087202,42,0.088,0.2828,Eunomia
17492,5,260139202,13,0.027,0.1625,Eunomia
17493,10,134438202,15,0.031,0.1742,Eunomia
14909,1,4237458202,32,0.067,0.2497,Eunomia
17493,2,40481087202,52,0.109,0.3111,Eunomia
14909,10,439777202,12,0.025,0.1563,Eunomia
17493,8,192671202,479,1,0,Eunomia
14909,5,4266809202,93,0.194,0.3955,Eunomia
17492,6,4266809202,47,0.098,0.2975,Eunomia
17493,5,80180202,320,0.668,0.4709,Eunomia
14909,5,80180202,320,0.668,0.4709,Eunomia
17492,10,195588202,59,0.123,0.3286,Eunomia
17493,3,4285898202,37,0.077,0.267,Eunomia
14909,10,4116491202,76,0.159,0.3654,Eunomia
17492,4,80180202,164,0.342,0.4745,Eunomia
17493,10,4116491202,76,0.159,0.3654,Eunomia
14909,10,195588202,59,0.123,0.3286,Eunomia
17492,9,40481087202,42,0.088,0.2828,Eunomia
17493,1,81151202,113,0.236,0.4246,Eunomia
17492,7,192671202,479,1,0,Eunomia
17493,10,81893202,130,0.271,0.4447,Eunomia
14909,10,4156265202,53,0.111,0.3137,Eunomia
17492,4,192671202,479,1,0,Eunomia
17493,1,4112343202,392,0.818,0.3855,Eunomia
14909,10,440448202,17,0.035,0.185,Eunomia
17492,10,257012202,106,0.221,0.4151,Eunomia
17493,1,28060202,157,0.328,0.4694,Eunomia
14909,10,4112343202,433,0.904,0.2946,Eunomia
17492,1,4142905202,22,0.046,0.2093,Eunomia
14909,10,28060202,200,0.418,0.4932,Eunomia
17492,10,4266809202,139,0.29,0.4538,Eunomia
14909,10,4155034202,55,0.115,0.3188,Eunomia
17492,10,81151202,176,0.367,0.4821,Eunomia
14909,1,4310024202,128,0.267,0.4425,Eunomia
17492,10,4237458202,49,0.102,0.303,Eunomia
14909,1,192671202,479,1,0,Eunomia
17492,10,381316202,32,0.067,0.2497,Eunomia
14909,1,30753202,134,0.28,0.4489,Eunomia
17492,1,4059173202,24,0.05,0.2182,Eunomia
17492,1,4112343202,392,0.818,0.3855,Eunomia
17492,1,4283893202,80,0.167,0.373,Eunomia
17493,10,4029498202,6,0.013,0.1112,Eunomia
17493,10,4001336202,8,0.017,0.1282,Eunomia
17492,2,260139202,15,0.031,0.1742,Eunomia
17492,1,4035415202,6,0.013,0.1112,Eunomia
17493,10,439777202,12,0.025,0.1563,Eunomia
14909,3,30753202,6,0.013,0.1112,Eunomia
17492,10,321042202,15,0.031,0.1742,Eunomia
17493,3,4112343202,16,0.033,0.1797,Eunomia
14909,1,4056621202,6,0.013,0.1112,Eunomia
17492,3,4112343202,16,0.033,0.1797,Eunomia
17493,1,321042202,10,0.021,0.143,Eunomia
14909,10,80502202,7,0.015,0.12,Eunomia
14909,10,4296205202,28,0.058,0.2346,Eunomia
17492,1,4146173202,19,0.04,0.1952,Eunomia
14909,1,4035415202,6,0.013,0.1112,Eunomia
17493,6,4266809202,47,0.098,0.2975,Eunomia
17492,10,4218389202,93,0.194,0.3955,Eunomia
14909,10,40479768202,6,0.013,0.1112,Eunomia
14909,9,81151202,6,0.013,0.1112,Eunomia
17492,10,4156265202,53,0.111,0.3137,Eunomia
17493,5,30753202,45,0.094,0.2918,Eunomia
14909,1,4001336202,6,0.013,0.1112,Eunomia
17492,10,317576202,28,0.058,0.2346,Eunomia
17493,1,4059173202,24,0.05,0.2182,Eunomia
14909,1,317576202,9,0.019,0.1358,Eunomia
17492,10,258780202,8,0.017,0.1282,Eunomia
17493,10,4149245202,10,0.021,0.143,Eunomia
17492,10,4113008202,81,0.169,0.3748,Eunomia
17493,1,4109685202,45,0.094,0.2918,Eunomia
14909,10,4278672202,44,0.092,0.2888,Eunomia
17492,8,192671202,479,1,0,Eunomia
17493,10,4113008202,81,0.169,0.3748,Eunomia
14909,10,40479422202,16,0.033,0.1797,Eunomia
17492,10,28060202,200,0.418,0.4932,Eunomia
17493,10,80502202,7,0.015,0.12,Eunomia
14909,9,260139202,19,0.04,0.1952,Eunomia
17492,1,378001202,71,0.148,0.3553,Eunomia
14909,10,381316202,32,0.067,0.2497,Eunomia
17492,10,261325202,17,0.035,0.185,Eunomia
17493,7,192671202,479,1,0,Eunomia
14909,3,192671202,479,1,0,Eunomia
17492,1,4296205202,18,0.038,0.1902,Eunomia
17493,5,40481087202,50,0.104,0.3058,Eunomia
14909,2,80180202,479,1,0,Eunomia
17492,1,81893202,130,0.271,0.4447,Eunomia
17493,4,192671202,479,1,0,Eunomia
14909,2,4266809202,139,0.29,0.4538,Eunomia
17492,1,4294548202,63,0.132,0.338,Eunomia
17493,2,80180202,479,1,0,Eunomia
14909,1,375671202,25,0.052,0.2224,Eunomia
17493,10,4237458202,49,0.102,0.303,Eunomia
14909,10,4113008202,81,0.169,0.3748,Eunomia
17493,1,4285898202,113,0.236,0.4246,Eunomia
14909,1,4109685202,45,0.094,0.2918,Eunomia
17493,10,261325202,17,0.035,0.185,Eunomia
14909,10,4294548202,102,0.213,0.4094,Eunomia
17493,10,4266809202,139,0.29,0.4538,Eunomia
14909,10,261325202,17,0.035,0.185,Eunomia
17493,1,78272202,68,0.142,0.349,Eunomia
14909,10,81893202,130,0.271,0.4447,Eunomia
14909,10,440086202,40,0.084,0.2766,Eunomia
17492,3,260139202,5,-0.0104,0,Eunomia
17492,1,4230399202,7,0.015,0.12,Eunomia
17493,1,4230399202,7,0.015,0.12,Eunomia
17492,9,81151202,6,0.013,0.1112,Eunomia
14909,1,321042202,10,0.021,0.143,Eunomia
17492,10,40479422202,16,0.033,0.1797,Eunomia
17493,1,4048171202,9,0.019,0.1358,Eunomia
17493,10,40479768202,6,0.013,0.1112,Eunomia
14909,9,28060202,5,-0.0104,0,Eunomia
17493,10,4094814202,7,0.015,0.12,Eunomia
17493,2,4112343202,29,0.061,0.2385,Eunomia
17492,10,372328202,63,0.132,0.338,Eunomia
17492,1,440448202,13,0.027,0.1625,Eunomia
17493,2,28060202,6,0.013,0.1112,Eunomia
17493,10,317576202,28,0.058,0.2346,Eunomia
17492,1,78272202,68,0.142,0.349,Eunomia
17493,1,372328202,46,0.096,0.2946,Eunomia
14909,10,313217202,11,0.023,0.1498,Eunomia
17492,5,81893202,13,0.027,0.1625,Eunomia
17493,2,81151202,6,0.013,0.1112,Eunomia
14909,2,30753202,45,0.094,0.2918,Eunomia
17492,2,4112343202,29,0.061,0.2385,Eunomia
17493,4,4266809202,47,0.098,0.2975,Eunomia
17492,10,439777202,12,0.025,0.1563,Eunomia
17493,1,4152936202,32,0.067,0.2497,Eunomia
14909,1,134438202,15,0.031,0.1742,Eunomia
17492,10,4027663202,266,0.555,0.4969,Eunomia
17493,1,4218389202,68,0.142,0.349,Eunomia
14909,9,4112343202,32,0.067,0.2497,Eunomia
17492,10,4285898202,113,0.236,0.4246,Eunomia
17493,5,4285898202,110,0.23,0.4206,Eunomia
17492,10,40481087202,472,0.985,0.12,Eunomia
17493,3,80180202,479,1,0,Eunomia
14909,3,4266809202,139,0.29,0.4538,Eunomia
17492,10,4109685202,66,0.138,0.3447,Eunomia
17493,10,378001202,102,0.213,0.4094,Eunomia
14909,3,80180202,479,1,0,Eunomia
17493,1,30753202,134,0.28,0.4489,Eunomia
14909,2,192671202,479,1,0,Eunomia
17493,10,4156265202,53,0.111,0.3137,Eunomia
14909,10,4296204202,50,0.104,0.3058,Eunomia
17493,10,192671202,479,1,0,Eunomia
14909,10,4149245202,10,0.021,0.143,Eunomia
17493,10,260139202,425,0.887,0.3163,Eunomia
14909,10,4218389202,93,0.194,0.3955,Eunomia
17493,1,40481087202,453,0.946,0.2266,Eunomia
14909,10,40481087202,472,0.985,0.12,Eunomia
17493,1,4296204202,32,0.067,0.2497,Eunomia
14909,1,4134304202,36,0.075,0.2636,Eunomia
17493,1,4283893202,80,0.167,0.373,Eunomia
14909,5,81151202,6,0.013,0.1112,Eunomia
17492,10,4094814202,7,0.015,0.12,Eunomia
17493,8,40481087202,6,0.013,0.1112,Eunomia
17492,1,381316202,9,0.019,0.1358,Eunomia
17493,10,381316202,32,0.067,0.2497,Eunomia
17492,1,4237458202,32,0.067,0.2497,Eunomia
17493,10,440448202,17,0.035,0.185,Eunomia
14909,1,440448202,13,0.027,0.1625,Eunomia
17493,1,134438202,15,0.031,0.1742,Eunomia
14909,1,439777202,10,0.021,0.143,Eunomia
17492,5,80180202,320,0.668,0.4709,Eunomia
17493,2,260139202,15,0.031,0.1742,Eunomia
17492,2,40481087202,52,0.109,0.3111,Eunomia
17493,10,375671202,37,0.077,0.267,Eunomia
17492,5,30753202,45,0.094,0.2918,Eunomia
14909,1,4156265202,31,0.065,0.246,Eunomia
17492,2,4285898202,110,0.23,0.4206,Eunomia
14909,1,195588202,38,0.079,0.2703,Eunomia
17492,10,4142905202,27,0.056,0.2306,Eunomia
17493,1,4146173202,19,0.04,0.1952,Eunomia
14909,10,4237458202,49,0.102,0.303,Eunomia
17492,10,4155034202,55,0.115,0.3188,Eunomia
17493,10,440086202,40,0.084,0.2766,Eunomia
14909,4,4266809202,47,0.098,0.2975,Eunomia
17492,1,81151202,113,0.236,0.4246,Eunomia
17493,4,80180202,164,0.342,0.4745,Eunomia
14909,2,40481087202,52,0.109,0.3111,Eunomia
17492,10,4059173202,36,0.075,0.2636,Eunomia
17493,3,4266809202,139,0.29,0.4538,Eunomia
14909,5,4285898202,110,0.23,0.4206,Eunomia
17492,10,4112343202,433,0.904,0.2946,Eunomia
17493,9,40481087202,42,0.088,0.2828,Eunomia
14909,5,260139202,13,0.027,0.1625,Eunomia
17492,10,4283893202,123,0.257,0.4369,Eunomia
17493,2,192671202,479,1,0,Eunomia
14909,4,80180202,164,0.342,0.4745,Eunomia
17492,1,4266809202,139,0.29,0.4538,Eunomia
17493,10,4112343202,433,0.904,0.2946,Eunomia
14909,10,4146173202,33,0.069,0.2533,Eunomia
17492,1,195588202,38,0.079,0.2703,Eunomia
17493,10,81151202,176,0.367,0.4821,Eunomia
14909,10,4310024202,128,0.267,0.4425,Eunomia
17492,1,257012202,71,0.148,0.3553,Eunomia
17493,10,28060202,200,0.418,0.4932,Eunomia
14909,1,4142905202,22,0.046,0.2093,Eunomia
17493,1,4116491202,45,0.094,0.2918,Eunomia
14909,1,28060202,157,0.328,0.4694,Eunomia
17493,1,81893202,130,0.271,0.4447,Eunomia
14909,10,30753202,134,0.28,0.4489,Eunomia
14909,10,192671202,479,1,0,Eunomia
14909,1,4116491202,45,0.094,0.2918,Eunomia
14909,1,4155034202,36,0.075,0.2636,Eunomia
14909,1,4112343202,392,0.818,0.3855,Eunomia
14909,3,260139202,5,-0.0104,0,Eunomia
17493,10,4048171202,9,0.019,0.1358,Eunomia
17493,2,81893202,13,0.027,0.1625,Eunomia
17492,2,81151202,6,0.013,0.1112,Eunomia
17493,10,4230399202,12,0.025,0.1563,Eunomia
17492,10,80502202,7,0.015,0.12,Eunomia
14909,10,321042202,15,0.031,0.1742,Eunomia
17492,1,4109685202,45,0.094,0.2918,Eunomia
17493,9,81151202,6,0.013,0.1112,Eunomia
17492,10,440448202,17,0.035,0.185,Eunomia
17493,10,4043241202,6,0.013,0.1112,Eunomia
17492,5,28060202,6,0.013,0.1112,Eunomia
17492,1,372328202,46,0.096,0.2946,Eunomia
17493,9,4112343202,32,0.067,0.2497,Eunomia
17492,10,4230399202,12,0.025,0.1563,Eunomia
17493,1,317576202,9,0.019,0.1358,Eunomia
14909,2,4112343202,29,0.061,0.2385,Eunomia
17492,9,4112343202,32,0.067,0.2497,Eunomia
14909,10,4134304202,43,0.09,0.2859,Eunomia
17492,1,439777202,10,0.021,0.143,Eunomia
17493,9,28060202,5,-0.0104,0,Eunomia
17492,1,40479422202,8,0.017,0.1282,Eunomia
17493,1,4156265202,31,0.065,0.246,Eunomia
14909,3,4285898202,37,0.077,0.267,Eunomia
17493,10,4218389202,93,0.194,0.3955,Eunomia
17493,5,4266809202,93,0.194,0.3955,Eunomia
14909,10,134438202,15,0.031,0.1742,Eunomia
17492,3,30753202,6,0.013,0.1112,Eunomia
17493,10,4296204202,50,0.104,0.3058,Eunomia
14909,2,28060202,6,0.013,0.1112,Eunomia
17492,3,80180202,479,1,0,Eunomia
17493,10,372328202,63,0.132,0.338,Eunomia
17492,3,192671202,479,1,0,Eunomia
17493,10,4283893202,123,0.257,0.4369,Eunomia
14909,8,192671202,479,1,0,Eunomia
17492,2,4266809202,139,0.29,0.4538,Eunomia
17493,10,4152936202,49,0.102,0.303,Eunomia
14909,5,81893202,13,0.027,0.1625,Eunomia
17492,10,78272202,87,0.182,0.3855,Eunomia
17493,1,378001202,71,0.148,0.3553,Eunomia
14909,10,4029498202,6,0.013,0.1112,Eunomia
17493,10,40481087202,472,0.985,0.12,Eunomia
14909,1,40481087202,453,0.946,0.2266,Eunomia
17492,1,4027663202,266,0.555,0.4969,Eunomia
17493,10,30753202,134,0.28,0.4489,Eunomia
14909,1,4218389202,68,0.142,0.349,Eunomia
17492,1,4285898202,113,0.236,0.4246,Eunomia
17493,1,192671202,479,1,0,Eunomia
14909,1,4296204202,32,0.067,0.2497,Eunomia
17492,1,40481087202,453,0.946,0.2266,Eunomia
17493,1,260139202,357,0.745,0.4357,Eunomia
17492,5,81151101,5,-0.0104,0,Eunomia
17493,3,260139101,5,-0.0104,0,Eunomia
14909,5,28060101,6,0.013,0.1112,Eunomia
17492,1,4056621101,6,0.013,0.1112,Eunomia
17493,1,4056621101,6,0.013,0.1112,Eunomia
17492,10,4278672101,44,0.092,0.2888,Eunomia
17493,1,40479422101,8,0.017,0.1282,Eunomia
14909,3,40481087101,22,0.046,0.2093,Eunomia
17492,3,40481087101,22,0.046,0.2093,Eunomia
14909,5,4112343101,27,0.056,0.2306,Eunomia
17493,1,4134304101,36,0.075,0.2636,Eunomia
14909,10,4059173101,36,0.075,0.2636,Eunomia
17492,1,375671101,25,0.052,0.2224,Eunomia
17493,1,4035415101,6,0.013,0.1112,Eunomia
14909,2,81893101,13,0.027,0.1625,Eunomia
17492,2,28060101,6,0.013,0.1112,Eunomia
17493,10,4278672101,44,0.092,0.2888,Eunomia
14909,6,4266809101,46,0.096,0.2946,Eunomia
17492,3,4285898101,37,0.077,0.267,Eunomia
17493,10,4296205101,28,0.058,0.2346,Eunomia
17492,10,440086101,22,0.046,0.2093,Eunomia
17493,10,4294548101,100,0.209,0.4064,Eunomia
14909,10,372328101,61,0.127,0.3334,Eunomia
14909,10,4283893101,123,0.257,0.4369,Eunomia
17493,1,4142905101,22,0.046,0.2093,Eunomia
14909,1,4230399101,7,0.015,0.12,Eunomia
17492,5,4266809101,93,0.194,0.3955,Eunomia
17493,6,80180101,159,0.332,0.4709,Eunomia
14909,7,192671101,479,1,0,Eunomia
17492,10,4116491101,76,0.159,0.3654,Eunomia
17493,5,81893101,13,0.027,0.1625,Eunomia
14909,6,80180101,159,0.332,0.4709,Eunomia
17492,1,4296204101,32,0.067,0.2497,Eunomia
17493,3,192671101,479,1,0,Eunomia
14909,4,192671101,479,1,0,Eunomia
17492,10,4134304101,43,0.09,0.2859,Eunomia
17493,2,4266809101,139,0.29,0.4538,Eunomia
14909,1,4152936101,32,0.067,0.2497,Eunomia
17492,10,134438101,15,0.031,0.1742,Eunomia
17493,10,195588101,59,0.123,0.3286,Eunomia
14909,10,4266809101,139,0.29,0.4538,Eunomia
17493,1,4310024101,128,0.267,0.4425,Eunomia
14909,1,4285898101,113,0.236,0.4246,Eunomia
17493,10,4027663101,266,0.555,0.4969,Eunomia
14909,1,78272101,68,0.142,0.349,Eunomia
17492,10,4310024101,128,0.267,0.4425,Eunomia
17493,10,80180101,479,1,0,Eunomia
14909,10,257012101,106,0.221,0.4151,Eunomia
17492,1,4001336101,6,0.013,0.1112,Eunomia
17493,10,4155034101,55,0.115,0.3188,Eunomia
14909,10,378001101,102,0.213,0.4094,Eunomia
17492,10,260139101,424,0.885,0.3188,Eunomia
17493,10,257012101,106,0.221,0.4151,Eunomia
14909,1,81151101,111,0.232,0.4219,Eunomia
17492,1,4152936101,32,0.067,0.2497,Eunomia
14909,1,260139101,356,0.743,0.4369,Eunomia
17492,1,30753101,134,0.28,0.4489,Eunomia
14909,10,80180101,479,1,0,Eunomia
17492,1,192671101,479,1,0,Eunomia
14909,10,4027663101,266,0.555,0.4969,Eunomia
17492,1,80180101,479,1,0,Eunomia
17493,3,30753101,6,0.013,0.1112,Eunomia
17493,3,40481087101,22,0.046,0.2093,Eunomia
17493,5,81151101,5,-0.0104,0,Eunomia
17493,10,258780101,8,0.017,0.1282,Eunomia
17492,10,4001336101,8,0.017,0.1282,Eunomia
17493,10,4035415101,10,0.021,0.143,Eunomia
17493,5,28060101,6,0.013,0.1112,Eunomia
17493,10,40479422101,16,0.033,0.1797,Eunomia
17493,1,4155034101,36,0.075,0.2636,Eunomia
14909,10,4329847101,10,0.021,0.143,Eunomia
17492,10,4329847101,10,0.021,0.143,Eunomia
17493,5,4112343101,27,0.056,0.2306,Eunomia
14909,10,4043241101,6,0.013,0.1112,Eunomia
17492,5,4112343101,27,0.056,0.2306,Eunomia
17493,10,4142905101,27,0.056,0.2306,Eunomia
